topology,J,mu,n_seeds,p_collapse,p_rigidity,p_fragmentation,rigidity_share_collapsed,mean_intra_corr,mean_inter_corr
modular,4.0,60,50,0.26,0.2,0.0,0.7692307692307693,1.0000000000000064,1.0000000000000062
modular,4.0,80,50,0.18,0.14,0.0,0.7777777777777778,0.9999999999999969,0.999999999999997
modular,4.0,100,50,0.32,0.3,0.0,0.9375,0.9999999999999432,0.9999999999999432
modular,5.0,20,50,1.0,0.92,0.02,0.92,0.999999999999996,0.9999999999999959
modular,5.0,40,50,0.38,0.34,0.0,0.8947368421052632,1.0000000000000098,1.00000000000001
modular,5.0,60,50,0.4,0.28,0.0,0.7,1.0000000000000757,1.0000000000000757
modular,5.0,80,50,0.3,0.28,0.0,0.9333333333333333,0.9999999999999968,0.999999999999997
modular,5.0,100,50,0.34,0.3,0.0,0.8823529411764706,0.9999999999999828,0.9999999999999823
modular_boundary,0.5,20,50,1.0,0.0,0.44,0.0,0.9999999999999979,0.9999999999999981
modular_boundary,0.5,40,50,1.0,0.0,0.54,0.0,0.9999902613829104,0.9999903624023957
modular_boundary,0.5,60,50,0.04,0.0,0.0,0.0,0.835998939785219,0.8395770952397866
modular_boundary,0.5,80,50,0.0,0.0,0.0,0.0,0.7947498455712831,0.7945827666718972
modular_boundary,0.5,100,50,0.0,0.0,0.0,0.0,0.8120129773946103,0.8355794341765245
modular_boundary,1.0,20,50,1.0,0.04,0.36,0.04,0.9999999999999999,0.9999999999999997
modular_boundary,1.0,40,50,1.0,0.0,0.56,0.0,0.9999645287973818,0.9999668560546896
modular_boundary,1.0,60,50,0.14,0.0,0.04,0.0,0.9588070597062598,0.9178798836656363
modular_boundary,1.0,80,50,0.0,0.0,0.0,0.0,0.8283608201797589,0.8138534717218633
modular_boundary,1.0,100,50,0.0,0.0,0.0,0.0,0.8654166760707297,0.8563770723647499
modular_boundary,2.0,20,50,1.0,0.2,0.3,0.2,1.0000000000000018,1.000000000000002
modular_boundary,2.0,40,50,0.8,0.14,0.16,0.175,0.9900071319084797,0.989645607702561
modular_boundary,2.0,60,50,0.2,0.04,0.04,0.2,0.8831715386376936,0.8657461052567753
modular_boundary,2.0,80,50,0.02,0.0,0.0,0.0,0.8812900239059406,0.8642552186361604
modular_boundary,2.0,100,50,0.02,0.0,0.0,0.0,0.8627533692402508,0.8833630770075787
modular_boundary,3.0,20,50,1.0,0.38,0.08,0.38,1.0000000000000053,1.000000000000005
modular_boundary,3.0,40,50,0.28,0.1,0.04,0.35714285714285715,0.9746928107407724,0.9691381052662779
modular_boundary,3.0,60,50,0.3,0.18,0.0,0.6,0.8997408264346456,0.9133984772849377
modular_boundary,3.0,80,50,0.34,0.18,0.02,0.5294117647058824,0.8970993297054369,0.8996976779522385
modular_boundary,3.0,100,50,0.26,0.2,0.0,0.7692307692307693,0.8960513120306411,0.8973818964009324
modular_boundary,4.0,20,50,1.0,0.82,0.02,0.82,1.0000000000000213,1.0000000000000213
modular_boundary,4.0,40,50,0.4,0.22,0.04,0.55,0.9810687159089865,0.9759989340991463
modular_boundary,4.0,60,50,0.3,0.16,0.0,0.5333333333333333,0.9669443566088122,0.9722854614372626
modular_boundary,4.0,80,50,0.24,0.18,0.0,0.75,0.9467100492338769,0.9460970423376268
modular_boundary,4.0,100,50,0.22,0.12,0.0,0.5454545454545454,0.9160972459646203,0.9250823974779064
modular_boundary,5.0,20,50,1.0,0.82,0.02,0.82,1.000000000000054,1.000000000000054
modular_boundary,5.0,40,50,0.4,0.36,0.0,0.9,0.9856175015529475,0.9846766914220737
modular_boundary,5.0,60,50,0.32,0.26,0.0,0.8125,0.9782956675631821,0.9757346680217994
modular_boundary,5.0,80,50,0.34,0.28,0.0,0.8235294117647058,0.9789604395343061,0.9796831742828399
modular_boundary,5.0,100,50,0.38,0.36,0.0,0.9473684210526315,0.9630388380710798,0.96277571272097
